Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Cibil Score,Property_Area,Loan_Status
LP002778,Male,Yes,2,Graduate,Yes,6633,0,,360,0,519,Rural,N
LP001492,Male,No,0,Graduate,No,14999,0,242,360,0,437,Semiurban,N
LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,439,Urban,N
LP002067,Male,Yes,1,Graduate,Yes,8666,4983,376,360,0,438,Rural,N
LP001910,Male,No,1,Not Graduate,Yes,4053,2426,158,360,0,509,Urban,N
LP002113,Female,No,3+,Not Graduate,No,1830,0,,360,0,497,Urban,N
LP002789,Male,Yes,0,Graduate,No,3593,4266,132,180,0,364,Rural,N
LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,352,Semiurban,N
LP002335,Female,Yes,0,Not Graduate,No,2149,3237,178,360,0,414,Semiurban,N
LP002847,Male,Yes,,Graduate,No,5116,1451,165,360,0,536,Urban,N
LP002317,Male,Yes,3+,Graduate,No,81000,0,360,360,0,356,Rural,N
LP001732,Male,Yes,2,Graduate,,5000,0,72,360,0,409,Semiurban,N
LP001263,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,448,Semiurban,N
LP001222,Female,No,0,Graduate,No,4166,0,116,360,0,413,Semiurban,N
LP002205,Male,No,1,Graduate,No,3062,1987,111,180,0,539,Urban,N
LP002776,Female,No,0,Graduate,No,5000,0,103,360,0,404,Semiurban,N
LP002500,Male,Yes,3+,Not Graduate,No,2947,1664,70,180,0,382,Urban,N
LP002990,Female,No,0,Graduate,Yes,4583,0,133,360,0,529,Semiurban,N
LP002841,Male,Yes,0,Graduate,No,3166,2064,104,360,0,360,Urban,N
LP002188,Male,No,0,Graduate,No,5124,0,124,,0,474,Rural,N
LP001711,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,366,Semiurban,N
LP002585,Male,Yes,0,Graduate,No,3597,2157,119,360,0,393,Rural,N
LP001109,Male,Yes,0,Graduate,No,1828,1330,100,,0,466,Urban,N
LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,371,Rural,N
LP001186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,386,Urban,N
LP002872,,Yes,0,Graduate,No,3087,2210,136,360,0,439,Semiurban,N
LP002682,Male,Yes,,Not Graduate,No,3074,1800,123,360,0,545,Semiurban,N
LP002788,Male,Yes,0,Not Graduate,No,2454,2333,181,360,0,470,Urban,N
LP001945,Female,No,,Graduate,No,5417,0,143,480,0,374,Urban,N
LP002068,Male,No,0,Graduate,No,4917,0,130,360,0,426,Rural,Y
LP001047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,475,Semiurban,N
LP001835,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,547,Semiurban,N
LP002328,Male,Yes,0,Not Graduate,No,6096,0,218,360,0,408,Rural,N
LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,545,Urban,N
LP001536,Male,Yes,3+,Graduate,No,39999,0,600,180,0,360,Semiurban,Y
LP001844,Male,No,0,Graduate,Yes,16250,0,192,360,0,437,Urban,N
LP002357,Female,No,0,Not Graduate,No,2720,0,80,,0,361,Urban,N
LP001633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,359,Urban,N
LP002706,Male,Yes,1,Not Graduate,No,5285,1430,161,360,0,367,Semiurban,Y
LP002943,Male,No,,Graduate,No,2987,0,88,360,0,476,Semiurban,N
LP002530,,Yes,2,Graduate,No,2873,1872,132,360,0,439,Semiurban,N
LP002379,Male,No,0,Graduate,No,6500,0,105,360,0,380,Rural,N
LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,497,Rural,N
LP002243,Male,Yes,0,Not Graduate,No,3010,3136,,360,0,433,Urban,N
LP002277,Female,No,0,Graduate,No,3180,0,71,360,0,524,Urban,N
LP001882,Male,Yes,3+,Graduate,No,4333,1811,160,360,0,412,Urban,Y
LP002130,Male,Yes,,Not Graduate,No,3523,3230,152,360,0,530,Rural,N
LP002926,Male,Yes,2,Graduate,Yes,2726,0,106,360,0,477,Semiurban,N
LP002517,Male,Yes,1,Not Graduate,No,2653,1500,113,180,0,375,Rural,N
LP002158,Male,Yes,0,Not Graduate,No,3000,1666,100,480,0,360,Urban,N
LP002493,Male,No,0,Graduate,No,4166,0,98,360,0,535,Semiurban,N
LP001849,Male,No,0,Not Graduate,No,6045,0,115,360,0,463,Rural,N
LP002446,Male,Yes,2,Not Graduate,No,2309,1255,125,360,0,449,Rural,N
LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,377,Urban,N
LP002403,Male,No,0,Graduate,Yes,10416,0,187,360,0,431,Urban,N
LP001146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,532,Urban,N
LP001014,Male,Yes,3+,Graduate,No,1000,2504,600,360,0,597,Semiurban,N
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,568,Rural,N
LP001610,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,593,Semiurban,N
LP002855,Male,Yes,2,Graduate,No,16666,0,275,360,1,577,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,562,Urban,Y
LP002031,Male,Yes,1,Not Graduate,No,3399,1640,111,180,1,582,Urban,Y
LP002110,Male,Yes,1,Graduate,,5250,688,160,360,1,593,Rural,Y
LP002201,Male,Yes,2,Graduate,Yes,9323,7873,380,300,1,563,Rural,Y
LP002300,Female,No,0,Not Graduate,No,1963,0,53,360,1,593,Semiurban,Y
LP001865,Male,Yes,1,Graduate,No,6083,4250,330,360,,600,Urban,Y
LP002229,Male,No,0,Graduate,No,5941,4232,296,360,1,572,Semiurban,Y
LP002684,Female,No,0,Not Graduate,No,3400,0,95,360,1,590,Rural,N
LP002054,Male,Yes,2,Not Graduate,No,3601,1590,,360,1,565,Rural,Y
LP002489,Female,No,1,Not Graduate,,5191,0,132,360,1,579,Semiurban,Y
LP002798,Male,Yes,0,Graduate,No,3887,2669,162,360,1,585,Semiurban,Y
LP002035,Male,Yes,2,Graduate,No,3717,0,120,360,1,600,Semiurban,Y
LP002244,Male,Yes,0,Graduate,No,2333,2417,136,360,1,598,Urban,Y
LP002634,Female,No,1,Graduate,No,13262,0,40,360,1,596,Urban,Y
LP002447,Male,Yes,2,Not Graduate,No,1958,1456,60,300,,578,Urban,Y
LP001520,Male,Yes,0,Graduate,No,4860,830,125,360,1,585,Semiurban,Y
LP002974,Male,Yes,0,Graduate,No,3232,1950,108,360,1,593,Rural,Y
LP002036,Male,Yes,0,Graduate,No,2058,2134,88,360,,561,Urban,Y
LP002308,Male,Yes,0,Not Graduate,No,2167,2400,115,360,1,560,Urban,Y
LP002547,Male,Yes,1,Graduate,No,18333,0,500,360,1,580,Urban,N
LP002813,Female,Yes,1,Graduate,Yes,19484,0,600,360,1,563,Semiurban,Y
LP001179,Male,Yes,2,Graduate,No,4616,0,134,360,1,592,Urban,N
LP002175,Male,Yes,0,Graduate,No,4750,2333,130,360,1,591,Urban,Y
LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,575,Urban,Y
LP002296,Male,No,0,Not Graduate,No,2755,0,65,300,1,589,Rural,N
LP001883,Female,No,0,Graduate,,3418,0,135,360,1,560,Rural,N
LP002652,Male,No,0,Graduate,No,5815,3666,311,360,1,578,Rural,N
LP001884,Female,No,1,Graduate,No,2876,1560,90,360,1,560,Urban,Y
LP001907,Male,Yes,0,Graduate,No,14583,0,436,360,1,582,Semiurban,Y
LP001671,Female,Yes,0,Graduate,No,3416,2816,113,360,,564,Semiurban,Y
LP001248,Male,No,0,Graduate,No,3500,0,81,300,1,566,Semiurban,Y
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,567,Urban,Y
LP002284,Male,No,0,Not Graduate,No,3902,1666,109,360,1,580,Rural,Y
LP001448,,Yes,3+,Graduate,No,23803,0,370,360,1,597,Rural,Y
LP001924,Male,No,0,Graduate,No,3158,3053,89,360,1,568,Rural,Y
LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,594,Semiurban,Y
LP002144,Female,No,,Graduate,No,3813,0,116,180,1,584,Urban,Y
LP002422,Male,No,1,Graduate,No,37719,0,152,360,1,561,Semiurban,Y
LP002753,Female,No,1,Graduate,,3652,0,95,360,1,596,Semiurban,Y
LP001579,Male,No,0,Graduate,No,2237,0,700,480,0,578,Semiurban,N
LP001639,Female,Yes,0,Graduate,No,3625,0,108,360,1,589,Semiurban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,575,Semiurban,Y
LP002262,Male,Yes,3+,Graduate,No,9504,0,275,360,1,598,Rural,Y
LP002958,Male,No,0,Graduate,No,3676,4301,172,360,1,586,Rural,Y
LP001164,Female,No,0,Graduate,No,4230,0,112,360,1,597,Semiurban,N
LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,586,Rural,Y
LP001664,Male,No,0,Graduate,No,4191,0,120,360,1,581,Rural,Y
LP002239,Male,No,0,Not Graduate,No,2346,1600,132,360,1,576,Semiurban,Y
LP002305,Female,No,0,Graduate,No,4547,0,115,360,1,582,Semiurban,Y
LP001734,Female,Yes,2,Graduate,No,4283,2383,127,360,,583,Semiurban,Y
LP001027,Male,Yes,2,Graduate,,2500,1840,109,360,1,594,Urban,Y
LP002263,Male,Yes,0,Graduate,No,2583,2115,120,360,,593,Urban,Y
LP001519,Female,No,0,Graduate,No,10000,1666,225,360,1,585,Rural,N
LP002065,Male,Yes,3+,Graduate,No,15000,0,300,360,1,586,Rural,Y
LP001198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,560,Urban,Y
LP001473,Male,No,0,Graduate,No,2014,1929,74,360,1,594,Urban,Y
LP001813,Male,No,0,Graduate,Yes,6050,4333,120,180,1,580,Urban,N
LP001998,Male,Yes,2,Not Graduate,No,7667,0,185,360,,597,Rural,Y
LP002367,Female,No,1,Not Graduate,No,4606,0,81,360,1,572,Rural,N
LP001098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,587,Semiurban,Y
LP001900,Male,Yes,1,Graduate,No,2750,1842,115,360,1,599,Semiurban,Y
LP002087,Female,No,0,Graduate,No,2500,0,67,360,1,588,Urban,Y
LP001002,Male,No,0,Graduate,No,5849,0,,360,1,582,Urban,Y
LP001608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,567,Rural,Y
LP002487,Male,Yes,0,Graduate,No,3015,2188,153,360,1,594,Rural,Y
LP002139,Male,Yes,0,Graduate,No,9083,0,228,360,1,600,Semiurban,Y
LP002888,Male,No,0,Graduate,,3182,2917,161,360,1,582,Urban,Y
LP001925,Female,No,0,Graduate,Yes,2600,1717,99,300,1,572,Semiurban,N
LP002149,Male,Yes,2,Graduate,No,8333,3167,165,360,1,562,Rural,Y
LP001758,Male,Yes,2,Graduate,No,6250,1695,210,360,1,562,Semiurban,Y
LP002582,Female,No,0,Not Graduate,Yes,17263,0,225,360,1,594,Semiurban,Y
LP002178,Male,Yes,0,Graduate,No,3013,3033,95,300,,563,Urban,Y
LP001708,Female,No,0,Graduate,No,10000,0,214,360,1,561,Semiurban,N
LP001562,Male,Yes,0,Graduate,No,7933,0,275,360,1,586,Urban,N
LP001120,Male,No,0,Graduate,No,1800,1213,47,360,1,583,Urban,Y
LP001333,Male,Yes,0,Graduate,No,1977,997,50,360,1,585,Semiurban,Y
LP001702,Male,No,0,Graduate,No,3418,0,127,360,1,578,Semiurban,N
LP001692,Female,No,0,Not Graduate,No,4408,0,120,360,1,595,Semiurban,Y
LP002898,Male,Yes,1,Graduate,No,1880,0,61,360,,577,Rural,N
LP001518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,581,Urban,Y
LP002505,Male,Yes,0,Graduate,No,4333,2451,110,360,1,569,Urban,N
LP001318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,577,Semiurban,Y
LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,580,Rural,Y
LP001422,Female,No,0,Graduate,No,10408,0,259,360,1,581,Urban,Y
LP001688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,561,Urban,Y
LP002794,Female,No,0,Graduate,No,2667,1625,84,360,,572,Urban,Y
LP001778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,579,Semiurban,Y
LP002453,Male,No,0,Graduate,Yes,7085,0,84,360,1,598,Semiurban,Y
LP002377,Female,No,1,Graduate,Yes,8624,0,150,360,1,596,Semiurban,Y
LP002536,Male,Yes,3+,Not Graduate,No,3095,0,113,360,1,569,Rural,Y
LP002950,Male,Yes,0,Not Graduate,,2894,2792,155,360,1,578,Rural,Y
LP001449,Male,No,0,Graduate,No,3865,1640,,360,1,565,Rural,Y
LP001259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,598,Urban,N
LP002842,Male,Yes,1,Graduate,No,3417,1750,186,360,1,561,Urban,Y
LP002959,Female,Yes,1,Graduate,No,12000,0,496,360,1,564,Semiurban,Y
LP002086,Female,Yes,0,Graduate,No,4333,2451,110,360,1,569,Urban,N
LP002941,Male,Yes,2,Not Graduate,Yes,6383,1000,187,360,1,566,Rural,N
LP002301,Female,No,0,Graduate,Yes,7441,0,194,360,1,564,Rural,N
LP002478,,Yes,0,Graduate,Yes,2083,4083,160,360,,577,Semiurban,Y
LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,578,Semiurban,Y
LP002197,Male,Yes,2,Graduate,No,5185,0,155,360,1,597,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,560,Urban,Y
LP002137,Male,Yes,0,Graduate,No,6333,4583,259,360,,577,Semiurban,Y
LP001046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,590,Urban,Y
LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,591,Rural,Y
LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,569,Rural,Y
LP001073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,584,Urban,Y
LP002892,Male,Yes,2,Graduate,No,6540,0,205,360,1,600,Semiurban,Y
LP001036,Female,Yes,3+,Graduate,No,1200,0,550,360,0,588,Urban,N
LP001050,,Yes,2,Not Graduate,No,3365,1917,112,360,0,586,Rural,N
LP001699,Male,No,0,Graduate,No,2479,0,59,360,1,600,Urban,Y
LP001843,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,598,Semiurban,Y
LP002143,Female,Yes,0,Graduate,No,2423,505,130,360,1,561,Semiurban,Y
LP001908,Female,Yes,0,Not Graduate,No,4100,0,124,360,,580,Rural,Y
LP001877,Male,Yes,2,Graduate,No,4708,1387,150,360,1,565,Semiurban,Y
LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,576,Rural,Y
LP002697,Male,No,0,Graduate,No,4680,2087,,360,1,575,Semiurban,N
LP001888,Female,No,0,Graduate,No,3237,0,30,360,1,568,Urban,Y
LP002571,Male,No,0,Not Graduate,No,3691,0,110,360,1,575,Rural,Y
LP001405,Male,Yes,1,Graduate,No,2214,1398,85,360,,575,Urban,Y
LP002051,Male,Yes,0,Graduate,No,2400,2167,115,360,1,581,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,2500,0,700,,0,563,Semiurban,N
LP002191,Male,Yes,0,Graduate,No,19730,5266,570,360,1,594,Rural,N
LP002484,Male,Yes,3+,Graduate,No,7740,0,128,180,1,580,Urban,Y
LP001282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,568,Semiurban,Y
LP001871,Female,No,0,Graduate,No,7200,0,120,360,1,592,Rural,Y
LP001931,Female,No,0,Graduate,No,4124,0,115,360,1,564,Semiurban,Y
LP001137,Female,No,0,Graduate,No,3410,0,88,,1,565,Urban,Y
LP001669,Female,No,0,Not Graduate,No,1907,2365,120,,1,581,Urban,Y
LP002625,,No,0,Graduate,No,3583,0,96,360,1,584,Urban,N
LP002893,Male,No,0,Graduate,No,1836,33837,90,360,1,587,Urban,N
LP002729,Male,No,1,Graduate,No,11250,0,196,360,,598,Semiurban,N
LP001106,Male,Yes,0,Graduate,No,2275,2067,,360,1,564,Urban,Y
LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,597,Semiurban,Y
LP002587,Male,Yes,0,Not Graduate,No,2600,1700,107,360,1,599,Rural,Y
LP002699,Male,Yes,2,Graduate,Yes,17500,0,400,360,1,594,Rural,Y
LP001144,Male,Yes,0,Graduate,No,5821,0,144,360,1,562,Urban,Y
LP001488,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,587,Semiurban,N
LP002714,Male,No,1,Not Graduate,No,2679,1302,94,360,1,593,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,585,Semiurban,Y
LP001401,Male,Yes,1,Graduate,No,14583,0,185,180,1,564,Rural,Y
LP002170,Male,Yes,2,Graduate,No,5000,3667,236,360,1,569,Semiurban,Y
LP002140,Male,No,0,Graduate,No,8750,4167,308,360,1,584,Rural,N
LP002670,Female,Yes,2,Graduate,No,2031,1632,113,480,1,577,Semiurban,Y
LP001028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,600,Urban,Y
LP001370,Male,No,0,Not Graduate,,7333,0,120,360,1,566,Rural,N
LP002361,Male,Yes,0,Graduate,No,1820,1719,100,360,1,565,Urban,Y
LP002272,Male,Yes,2,Graduate,No,3276,484,135,360,,587,Semiurban,Y
LP001367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,587,Urban,Y
LP001404,Female,Yes,0,Graduate,No,3167,2283,154,360,1,581,Semiurban,Y
LP002459,Male,Yes,0,Graduate,No,4301,0,118,360,1,596,Urban,Y
LP002555,Male,Yes,2,Graduate,Yes,4583,2083,160,360,1,564,Semiurban,Y
LP001636,Male,Yes,0,Graduate,No,4600,0,73,180,1,598,Semiurban,Y
LP001265,Female,No,0,Graduate,No,3846,0,111,360,1,565,Semiurban,Y
LP001426,Male,Yes,,Graduate,No,5667,2667,180,360,1,581,Rural,Y
LP002622,Male,Yes,2,Graduate,No,3510,4416,243,360,1,599,Rural,Y
LP001949,Male,Yes,3+,Graduate,,4416,1250,110,360,1,577,Urban,Y
LP002683,Male,No,0,Graduate,No,4683,1915,185,360,1,561,Semiurban,N
LP001643,Male,Yes,0,Graduate,No,2383,2138,58,360,,576,Rural,Y
LP001266,Male,Yes,1,Graduate,Yes,2395,0,,360,1,589,Semiurban,Y
LP002332,Male,Yes,0,Not Graduate,No,2253,2033,110,360,1,571,Rural,Y
LP002524,Male,No,2,Graduate,No,5532,4648,162,360,1,584,Rural,Y
LP001996,Male,No,0,Graduate,No,20233,0,480,360,1,577,Rural,N
LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,589,Rural,Y
LP001903,Male,Yes,0,Graduate,No,3993,3274,207,360,1,600,Semiurban,Y
LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,560,Urban,Y
LP002393,Female,,,Graduate,No,10047,0,,240,1,595,Semiurban,Y
LP002804,Female,Yes,0,Graduate,No,4180,2306,182,360,1,592,Semiurban,Y
LP001726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,588,Semiurban,Y
LP001327,Female,Yes,0,Graduate,No,2484,2302,137,360,1,592,Semiurban,Y
LP002689,Male,Yes,2,Not Graduate,No,2192,1742,45,360,1,580,Semiurban,Y
LP001749,Male,Yes,0,Graduate,No,7578,1010,175,,1,586,Semiurban,Y
LP001786,Male,Yes,0,Graduate,,5746,0,255,360,,574,Urban,N
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,573,Rural,Y
LP002494,Male,No,0,Graduate,No,6000,0,140,360,1,872,Rural,Y
LP002840,Female,No,0,Graduate,No,2378,0,9,360,1,830,Urban,N
LP002024,,Yes,0,Graduate,No,2473,1843,159,360,1,677,Rural,N
LP002237,Male,No,1,Graduate,,3667,0,113,180,1,642,Urban,Y
LP002732,Male,No,0,Not Graduate,,2550,2042,126,360,1,677,Rural,Y
LP001947,Male,Yes,0,Graduate,No,2383,3334,172,360,1,739,Semiurban,Y
LP002225,Male,Yes,2,Graduate,No,5391,0,130,360,1,707,Urban,Y
LP002755,Male,Yes,1,Not Graduate,No,2239,2524,128,360,1,718,Urban,Y
LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,828,Semiurban,Y
LP001765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,892,Semiurban,Y
LP002586,Female,Yes,1,Graduate,No,3326,913,105,84,1,895,Semiurban,Y
LP001972,Male,Yes,,Not Graduate,No,2875,1750,105,360,1,774,Semiurban,Y
LP001990,Male,No,0,Not Graduate,No,2000,0,,360,1,636,Urban,N
LP002006,Female,No,0,Graduate,No,2507,0,56,360,1,822,Rural,Y
LP002053,Male,Yes,3+,Graduate,No,4342,189,124,360,1,840,Semiurban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,769,Urban,Y
LP001754,Male,Yes,,Not Graduate,Yes,4735,0,138,360,1,687,Urban,N
LP002337,Female,No,0,Graduate,No,2995,0,60,360,1,865,Urban,Y
LP002341,Female,No,1,Graduate,No,2600,0,160,360,1,840,Urban,N
LP002784,Male,Yes,1,Not Graduate,No,2492,2375,,360,1,630,Rural,Y
LP001345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,890,Urban,Y
LP001926,Male,Yes,0,Graduate,No,3704,2000,120,360,1,730,Rural,Y
LP001275,Male,Yes,1,Graduate,No,3988,0,50,240,1,695,Urban,Y
LP002138,Male,Yes,0,Graduate,No,2625,6250,187,360,1,735,Rural,Y
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,792,Urban,Y
LP002502,Female,Yes,2,Not Graduate,,210,2917,98,360,1,676,Semiurban,Y
LP001788,Female,No,0,Graduate,Yes,3463,0,122,360,,860,Urban,Y
LP001322,Male,No,0,Graduate,No,4133,0,122,360,1,739,Semiurban,Y
LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,900,Urban,Y
LP001279,Male,No,0,Graduate,No,2366,2531,136,360,1,707,Semiurban,Y
LP002097,Male,No,1,Graduate,No,4384,1793,117,360,1,718,Urban,Y
LP001935,Male,No,0,Graduate,No,9508,0,187,360,1,625,Rural,Y
LP001870,Female,No,1,Graduate,No,3481,0,155,36,1,803,Semiurban,N
LP001439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,710,Rural,Y
LP002527,Male,Yes,2,Graduate,Yes,16525,1014,150,360,1,696,Rural,Y
LP002603,Female,No,0,Graduate,No,645,3683,113,480,1,873,Rural,Y
LP001385,Male,No,0,Graduate,No,5316,0,136,360,1,839,Urban,Y
LP002544,Male,Yes,1,Not Graduate,No,1958,2436,131,360,1,655,Rural,Y
LP002364,Male,Yes,0,Graduate,No,14880,0,96,360,1,837,Semiurban,Y
LP002767,Male,Yes,0,Graduate,No,2768,1950,155,360,1,632,Rural,Y
LP002953,Male,Yes,3+,Graduate,No,5703,0,128,360,1,871,Urban,Y
LP002648,Male,Yes,0,Graduate,No,2130,6666,70,180,1,644,Semiurban,N
LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,889,Urban,Y
LP002836,Male,No,0,Graduate,No,3333,0,70,360,1,768,Urban,Y
LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,889,Urban,Y
LP001586,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,623,Rural,N
LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,845,Semiurban,Y
LP001922,Male,Yes,0,Graduate,No,20667,0,,360,1,693,Rural,N
LP001034,Male,No,1,Not Graduate,No,3596,0,100,240,,769,Urban,Y
LP002444,Male,No,1,Not Graduate,Yes,2769,1542,190,360,,785,Semiurban,N
LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,716,Rural,N
LP001546,Male,No,0,Graduate,,2980,2083,120,360,1,830,Rural,Y
LP002103,,Yes,1,Graduate,Yes,9833,1833,182,180,1,689,Urban,Y
LP001280,Male,Yes,2,Not Graduate,No,3333,2000,99,360,,638,Semiurban,Y
LP002211,Male,Yes,0,Graduate,No,4817,923,120,180,1,775,Urban,Y
LP002250,Male,Yes,0,Graduate,No,5488,0,125,360,1,777,Rural,Y
LP002705,Male,Yes,0,Graduate,No,3775,0,110,360,1,880,Semiurban,Y
LP001541,Male,Yes,1,Graduate,No,6000,0,160,360,,879,Rural,Y
LP001751,Male,Yes,0,Graduate,No,3250,0,170,360,1,805,Rural,N
LP002928,Male,Yes,0,Graduate,No,3000,3416,56,180,1,871,Semiurban,Y
LP002936,Male,Yes,0,Graduate,No,3859,3300,142,180,1,626,Rural,Y
LP002467,Male,Yes,0,Graduate,No,3708,2569,173,360,1,776,Urban,N
LP001825,Male,Yes,0,Graduate,No,1809,1868,90,360,1,870,Urban,Y
LP002424,Male,Yes,0,Graduate,No,7333,8333,175,300,,664,Rural,Y
LP002785,Male,Yes,1,Graduate,No,3333,3250,158,360,1,845,Urban,Y
LP002938,Male,Yes,0,Graduate,Yes,16120,0,260,360,1,753,Urban,Y
LP002129,Male,Yes,0,Graduate,No,2499,2458,160,360,1,704,Semiurban,Y
LP002181,Male,No,0,Not Graduate,No,6216,0,133,360,1,630,Rural,N
LP002434,Male,Yes,2,Not Graduate,No,4652,0,110,360,1,811,Rural,Y
LP002435,Male,Yes,0,Graduate,,3539,1376,55,360,1,623,Rural,N
LP001507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,863,Semiurban,Y
LP002002,Female,No,0,Graduate,No,2917,0,84,360,1,868,Semiurban,Y
